"","modname","AICc","BIC","r2.vals","r2.vals.unique","edf","edf.less.1","delta.AICc","delta.BIC","wi.AICc","wi.BIC","depth","mean.relief","sd.relief","reef","status","cumsum.wi"
"greater than legal size","depth+mean.relief",864.460668011252,911.881184405028,0.28016,NA,12.37,1,0,0,1,0.996,1,1,0,0,0,1
"legal size atkinsoni.depth","depth",311.981544905931,339.44850776184,0.1158,NA,7.12,1,0,0,0.394,0.962,1,0,0,0,0,0.394
"legal size atkinsoni.depth+mean.relief","depth+mean.relief",312.399755713799,352.131337255929,0.12162,NA,9.92,1,0.418,12.683,0.32,0.002,1,1,0,0,0,0.714
"legal size atkinsoni.reef","reef",314.338503651703,348.145687525487,0.16028,NA,7.66,0,2.357,8.697,0.121,0.012,0,0,0,1,0,0.835
"legal size atkinsoni.reef+status","reef+status",315.103725464239,350.595054331986,0.16466,NA,8.41,0,3.122,11.147,0.083,0.004,0,0,0,1,1,0.918
"legal size atkinsoni.depth+sd.relief","depth+sd.relief",315.862950711714,352.018440655388,0.12243,NA,9.12,1,3.881,12.57,0.057,0.002,1,0,1,0,0,0.975
"legal size atkinsoni.mean.relief","mean.relief",319.314388616882,357.252035890078,0.12415,NA,8.63,0,7.333,17.804,0.01,0,0,1,0,0,0,0.985
"legal size atkinsoni.mean.relief+status","mean.relief+status",320.213876757453,359.65032968314,0.12597,NA,9.33,0,8.232,20.202,0.006,0,0,1,0,0,1,0.991
"legal size atkinsoni.null","null",320.89086106612,347.948271320987,0.13994,NA,6,0,8.909,8.5,0.005,0.014,0,0,0,0,0,0.996
"legal size atkinsoni.status","status",321.56180665043,350.246143080161,0.14392,NA,6.64,0,9.58,10.798,0.003,0.004,0,0,0,0,1,0.999
"legal size spango.depth+mean.relief","depth+mean.relief",223.068574729597,269.705446051054,0.16632,NA,11.57,0,0,2.152,0.81,0.142,1,1,0,0,0,0.81
"legal size spango.depth","depth",226.657906879551,267.553747904524,0.15812,NA,9.87,0,3.589,0,0.135,0.418,1,0,0,0,0,0.945
"legal size spango.depth+sd.relief","depth+sd.relief",229.039688523508,272.725464128972,0.15807,NA,10.86,0,5.971,5.172,0.041,0.031,1,0,1,0,0,0.986
"legal size spango.mean.relief+status","mean.relief+status",231.418595682275,270.891650387795,0.17802,NA,10.49,1,8.35,3.338,0.012,0.079,0,1,0,0,1,0.998
"legal size trout.null","null",303.435370875903,312.825144650779,0.00486,NA,3,2,0,0,0.604,0.877,0,0,0,0,0,0.604
"legal size trout.depth","depth",305.64930769576,318.121487849791,6e-05,NA,4,2,2.214,5.296,0.2,0.062,1,0,0,0,0,0.804
"legal size trout.status","status",305.681014070431,318.153115758552,8e-05,NA,4,2,2.246,5.328,0.196,0.061,0,0,0,0,1,1
"smaller than legal size.reef","reef",704.544504663567,740.983171037499,0.3182,NA,8.18,0,0,0,0.497,0.702,0,0,0,1,0,0.497
"smaller than legal size.reef+status","reef+status",704.610726667083,742.947746846819,0.32667,NA,9.08,0,0.066,1.965,0.481,0.263,0,0,0,1,1,0.978
"smaller than legal size.depth+mean.relief","depth+mean.relief",711.160053570285,751.476236961929,0.27025,NA,9.83,1,6.616,10.493,0.018,0.004,1,1,0,0,0,0.996
"sublegal size atkinsoni","depth+mean.relief",488.847434966493,532.876141788039,0.15849,NA,11.34,1,0,0,0.991,0.634,1,1,0,0,0,0.991
"sublegal size trout.null","null",278.765757124724,308.656825692235,0.30212,NA,7.27,0,0,0,0.476,0.666,0,0,0,0,0,0.476
"sublegal size trout.status","status",279.448410591833,310.199097439945,0.30363,NA,7.53,0,0.683,1.542,0.338,0.308,0,0,0,0,1,0.814
"sublegal size trout.depth","depth",281.711205872154,315.193171818437,0.29161,NA,8.27,0,2.945,6.536,0.109,0.025,1,0,0,0,0,0.923
"sublegal size trout.mean.relief+status","mean.relief+status",283.215452078803,323.068970012985,0.25349,NA,10.54,0,4.45,14.412,0.051,0,0,1,0,0,1,0.974
"sublegal size trout.mean.relief","mean.relief",285.097433732276,323.961991464285,0.25115,NA,10.17,0,6.332,15.305,0.02,0,0,1,0,0,0,0.994
"sublegal size trout.depth+mean.relief","depth+mean.relief",288.045283877958,330.204140154037,0.24775,NA,11.17,0,9.28,21.547,0.005,0,1,1,0,0,0,0.999
